Round,Date,Team 1,Team 2,FT,HT
15,2009-12-05,Borussia Dortmund,1. FC Nürnberg,4-0,3-0
15,2009-12-05,Hannover 96,Bayer Leverkusen,0-0,0-0
15,2009-12-05,Eintracht Frankfurt,1. FSV Mainz 05,2-0,1-0
15,2009-12-06,1. FC Köln,Werder Bremen,0-0,0-0
15,2009-12-06,FC Schalke 04,Hertha BSC,2-0,0-0
16,2009-12-11,Hertha BSC,Bayer Leverkusen,2-2,1-0
16,2009-12-12,1899 Hoffenheim,Eintracht Frankfurt,1-1,1-0
16,2009-12-12,VfL Bochum,Bayern München,1-5,0-3
16,2009-12-12,Bor. Mönchengladbach,Hannover 96,5-3,2-1
16,2009-12-12,SC Freiburg,1. FC Köln,0-0,0-0
16,2009-12-12,1. FC Nürnberg,Hamburger SV,0-4,0-0
16,2009-12-12,Werder Bremen,FC Schalke 04,0-2,0-0
16,2009-12-13,1. FSV Mainz 05,VfB Stuttgart,1-1,0-1
16,2009-12-13,VfL Wolfsburg,Borussia Dortmund,1-3,0-3
17,2009-12-18,FC Schalke 04,1. FSV Mainz 05,1-0,1-0
17,2009-12-19,Bayern München,Hertha BSC,5-2,3-0
17,2009-12-19,Borussia Dortmund,SC Freiburg,1-0,1-0
17,2009-12-19,Bayer Leverkusen,Bor. Mönchengladbach,3-2,1-1
17,2009-12-19,Hannover 96,VfL Bochum,2-3,2-0
17,2009-12-19,Eintracht Frankfurt,VfL Wolfsburg,2-2,1-1
17,2009-12-19,VfB Stuttgart,1899 Hoffenheim,3-1,1-1
17,2009-12-20,Hamburger SV,Werder Bremen,2-1,2-0
17,2009-12-20,1. FC Köln,1. FC Nürnberg,3-0,1-0
18,2010-01-15,Bayern München,1899 Hoffenheim,2-0,1-0
18,2010-01-16,Hamburger SV,SC Freiburg,2-0,1-0
18,2010-01-16,Eintracht Frankfurt,Werder Bremen,1-0,0-0
18,2010-01-16,Hannover 96,Hertha BSC,0-3,0-2
18,2010-01-16,Bayer Leverkusen,1. FSV Mainz 05,4-2,3-1
18,2010-01-16,Bor. Mönchengladbach,VfL Bochum,1-2,0-2
18,2010-01-16,VfB Stuttgart,VfL Wolfsburg,3-1,1-0
18,2010-01-17,FC Schalke 04,1. FC Nürnberg,1-0,0-0
18,2010-01-17,1. FC Köln,Borussia Dortmund,2-3,0-2
19,2010-01-22,SC Freiburg,VfB Stuttgart,0-1,0-1
19,2010-01-23,Werder Bremen,Bayern München,2-3,1-2
19,2010-01-23,VfL Bochum,FC Schalke 04,2-2,0-2
19,2010-01-23,1. FSV Mainz 05,Hannover 96,1-0,1-0
19,2010-01-23,1. FC Nürnberg,Eintracht Frankfurt,1-1,1-1
19,2010-01-23,Hertha BSC,Bor. Mönchengladbach,0-0,0-0
19,2010-01-23,Borussia Dortmund,Hamburger SV,1-0,1-0
19,2010-01-24,VfL Wolfsburg,1. FC Köln,2-3,1-1
19,2010-01-24,1899 Hoffenheim,Bayer Leverkusen,0-3,0-1
20,2010-01-29,Hamburger SV,VfL Wolfsburg,1-1,0-1
20,2010-01-30,Bor. Mönchengladbach,Werder Bremen,4-3,4-2
20,2010-01-30,Eintracht Frankfurt,1. FC Köln,1-2,0-0
20,2010-01-30,Hertha BSC,VfL Bochum,0-0,0-0
20,2010-01-30,Bayern München,1. FSV Mainz 05,3-0,0-0
20,2010-01-30,Hannover 96,1. FC Nürnberg,1-3,0-1
20,2010-01-30,FC Schalke 04,1899 Hoffenheim,2-0,1-0
20,2010-01-31,VfB Stuttgart,Borussia Dortmund,4-1,1-0
20,2010-01-31,Bayer Leverkusen,SC Freiburg,3-1,3-0
21,2010-02-05,Werder Bremen,Hertha BSC,2-1,0-0
21,2010-02-06,VfL Wolfsburg,Bayern München,1-3,0-2
21,2010-02-06,1. FC Köln,Hamburger SV,3-3,1-2
21,2010-02-06,SC Freiburg,FC Schalke 04,0-0,0-0
21,2010-02-06,VfL Bochum,Bayer Leverkusen,1-1,0-1
21,2010-02-06,1899 Hoffenheim,Hannover 96,2-1,2-0
21,2010-02-06,1. FC Nürnberg,VfB Stuttgart,1-2,0-1
21,2010-02-07,1. FSV Mainz 05,Bor. Mönchengladbach,1-0,1-0
21,2010-02-07,Borussia Dortmund,Eintracht Frankfurt,2-3,1-1
22,2010-02-12,Bor. Mönchengladbach,1. FC Nürnberg,2-1,1-0
22,2010-02-13,Bayer Leverkusen,VfL Wolfsburg,2-1,0-0
22,2010-02-13,VfB Stuttgart,Hamburger SV,1-3,0-1
22,2010-02-13,VfL Bochum,1899 Hoffenheim,2-1,1-0
22,2010-02-13,Hannover 96,Werder Bremen,1-5,0-4
