Date,Team 1,Team 2,FT,HT
2007-05-12,Werder Bremen,Ein Frankfurt,1-2,1-1
2007-05-19,Bayern München,Mainz,5-2,3-0
2007-05-19,Ein Frankfurt,Hertha,1-2,0-0
2007-05-19,Hamburg,Aachen,4-0,2-0
2007-05-19,Hannover,Nürnberg,0-3,0-0
2007-05-19,Leverkusen,Dortmund,2-1,1-0
2007-05-19,M'gladbach,Bochum,0-2,0-1
2007-05-19,Schalke 04,Bielefeld,2-1,2-0
2007-05-19,Stuttgart,Cottbus,2-1,1-1
2007-05-19,Wolfsburg,Werder Bremen,0-2,0-0
